id,title,body,category,priority
1,Informazioni su data limite,Non riesco a capire perché data limite. potete aiutarmi?.,Amministrazione,bassa
2,Informazioni su documento,"Gentile supporto, documento per favore. serve supporto.",Amministrazione,media
3,Segnalazione contratto,"Gentile supporto, contratto gentilmente. grazie.",Tecnico,bassa
4,Richiesta su errore,"Gentile supporto, errore per favore. grazie.",Tecnico,media
5,Problema relativo a sistema,"Buongiorno, segnalo che sistema. grazie mille.",Tecnico,bassa
6,Verifica promozione,Non riesco a capire perché promozione. fatemi sapere.,Tecnico,bassa
7,Informazioni su autenticazione,Chiedo supporto in quanto autenticazione gentilmente. attendo riscontro.,Tecnico,bassa
8,Informazioni su abbonamento,"Buongiorno, segnalo che abbonamento. appena potete.",Commerciale,media
9,Richiesta su scadenza,Si è verificato il seguente problema: scadenza. grazie mille.,Amministrazione,media
10,Verifica problema,"Gentile supporto, problema gentilmente. potete controllare?.",Tecnico,media
11,Segnalazione credito,Si è verificato il seguente problema: credito. potete aiutarmi?.,Amministrazione,media
12,Informazioni su problema,"Buongiorno, segnalo che problema gentilmente. resto in attesa.",Tecnico,media
13,Problema relativo a crash,"Salve, avrei bisogno di assistenza perché crash. resto in attesa.",Tecnico,alta
14,Segnalazione sistema,Vorrei chiarimenti dato che sistema per favore. fatemi sapere.,Amministrazione,bassa
15,Segnalazione contratto,Si è verificato il seguente problema: contratto. grazie.,Commerciale,media
16,Verifica ricevuta,Avrei necessità di sapere perché ricevuta appena possibile. potete aiutarmi?.,Amministrazione,media
17,Richiesta su fattura,Si è verificato il seguente problema: fattura. serve supporto.,Amministrazione,media
18,Problema relativo a rimborso,Si è verificato il seguente problema: rimborso. fatemi sapere.,Amministrazione,media
19,Informazioni su termine,Avrei necessità di sapere perché termine per favore. quando possibile.,Amministrazione,bassa
20,Segnalazione piattaforma,Si è verificato il seguente problema: piattaforma appena possibile. potete aiutarmi?.,Tecnico,media
21,Segnalazione transazione,Non riesco a capire perché transazione gentilmente. attendo riscontro.,Amministrazione,media
22,Informazioni su transazione,Chiedo supporto in quanto transazione. attendo riscontro.,Amministrazione,media
23,Richiesta su promozione,Chiedo supporto in quanto promozione. resto in attesa.,Commerciale,bassa
24,Verifica login,Scrivo per segnalare che login. grazie mille.,Tecnico,media
25,Richiesta su saldo,Potete verificare perché saldo. grazie mille.,Amministrazione,media
26,Segnalazione contratto,"Buongiorno, segnalo che contratto appena possibile. grazie mille.",Commerciale,media
27,Segnalazione proposta,Avrei necessità di sapere perché proposta. fatemi sapere.,Commerciale,media
28,Problema relativo a ordine,Si è verificato il seguente problema: ordine gentilmente. fatemi sapere.,Commerciale,media
29,Verifica interruzione,Non riesco a capire perché interruzione appena possibile. appena potete.,Tecnico,bassa
30,Richiesta su offerta,"Salve, avrei bisogno di assistenza perché offerta. serve supporto.",Commerciale,bassa
31,Segnalazione proposta,"Gentile supporto, proposta gentilmente. potete aiutarmi?.",Commerciale,bassa
32,Verifica sistema,Potete verificare perché sistema. attendo riscontro.,Commerciale,media
33,Informazioni su blocco,Potete verificare perché blocco appena possibile. potete aiutarmi?.,Tecnico,alta
34,Verifica malfunzionamento,Chiedo supporto in quanto malfunzionamento per favore. potete aiutarmi?.,Tecnico,bassa
35,Informazioni su termine,Si è verificato il seguente problema: termine. fatemi sapere.,Tecnico,media
36,Verifica interruzione,Si è verificato il seguente problema: interruzione per favore. resto in attesa.,Tecnico,media
37,Segnalazione promozione,Avrei necessità di sapere perché promozione per favore. potete aiutarmi?.,Commerciale,media
38,Problema relativo a preventivo,Si è verificato il seguente problema: preventivo. quando possibile.,Commerciale,media
39,Richiesta su crash,Non riesco a capire perché crash. fatemi sapere.,Tecnico,alta
40,Segnalazione autenticazione,"Buongiorno, segnalo che autenticazione. grazie.",Tecnico,media
41,Richiesta su rimborso,Si è verificato il seguente problema: rimborso. grazie.,Amministrazione,media
42,Informazioni su credito,Non riesco a capire perché credito appena possibile. grazie.,Tecnico,media
43,Verifica piano,Vorrei chiarimenti dato che piano gentilmente. serve supporto.,Commerciale,bassa
44,Segnalazione data limite,Chiedo supporto in quanto data limite gentilmente. grazie mille.,Amministrazione,bassa
45,Problema relativo a transazione,Non riesco a capire perché transazione gentilmente. grazie mille.,Amministrazione,bassa
